6人レジスタンス
end
似非原,ほげほげ,dolpen,shake,yudai214,yudai214,コル子11,3122,necro,necro,かなだ,canada
necro,コル子11
6
end
4
necro




かなだ,success,yudai214,success,dolpen,success,似非原,success

registance,registance,registance

system,message,red,コル子11さんは、【信任】に投票しました。,1332515335
system,message,red,yudai214さんは、【信任】に投票しました。,1332515335
system,message,red,dolpenさんは、【信任】に投票しました。,1332515335
system,message,red,似非原さんは、【信任】に投票しました。,1332515335
yudai214,say,black,まぁぼく白だけど（ｷﾘｯ,1332515334
似非原,say,olive,どうだろ。まあ黒打つってのも手だしね,1332515327
yudai214,say,black,スパイがチームに入るかどうかのゲームだからなー,1332515316
necro,say,green,不信任してみた,1332515302
yudai214,say,black,結局４人決め打ちはいるわけだし。1/2はあるでしょ,1332515291
かなだ,say,black,二人チームだとほぼ成功出すから最初から3スタートでもいいのかな？,1332515286
dolpen,say,black,なんとなくこれ失敗でそうだなー,1332515285
似非原,say,olive,悩むところだね,1332515280
yudai214,say,black,でもだすんじゃないかなー,1332515265
yudai214,say,black,それはある,1332515258
似非原,say,olive,結構しんどいっすね、2人で1黒は,1332515256
dolpen,say,black,2人チームで1黒出すの、出せたとしてもやらなそう,1332515234
system,warning,red,似非原さんは、【似非原、yudai214、かなだ】を、チームとして選びました。,1332515222
似非原,say,olive,最初の白は、白だとにらんで～,1332515205
necro,say,green,後半のリーダーやりたくない・・・ｗ,1332515204
かなだ,say,black,とりあえず、最初は成功ですね、二人の時は定石かな。。。,1332515194
コル子11,say,black,むぅ…次は3人か,1332515189
似非原,say,olive,そのあいだにちゃんと絞れる情報を確保しろwってことやね,1332515168
yudai214,say,black,４人、っていうのがあるので、だいじょうぶだよ,1332515151
system,warning,red,【似非原】が、リーダーとして選出されました。,1332515138
system,warning,red,このミッションは【成功】しました。,1332515138
似非原,say,olive,ですね。そういうルールです,1332515134
yudai214,say,black,決め打ちげーだよね最後,1332515127
dolpen,say,black,ほほう,1332515126
necro,say,green,６人だとスパイは２人？,1332515115
